ZNF155,YES
ZNF16,YES
ZNF225,YES
ZSCAN10,YES
HNF1B,YES
AC008758.1,YES
HOXA13,YES
MKX,YES
TBX1,YES
ZNF70,YES
ZNF282,YES
PRDM13,YES
ZNF786,YES
ZNF547,YES
EOMES,YES
HOXB1,YES
ZKSCAN3,YES
ZNF648,YES
MECP2,YES
WIZ,YES
ZNF317,YES
ZGLP1,YES
BACH2,YES
IRX4,YES
IRF4,YES
HOXA9,YES
SMAD7,YES
ZNF613,YES
SOX30,YES
TSC22D4,YES
MEOX1,YES
ZNF438,YES
TCF4,YES
ZBTB18,YES
RBPJL,YES
LYL1,YES
BHLHE22,YES
AC010422.6,YES
IRF3,YES
ZNF260,YES
PROX2,YES
TP63,YES
HOXA6,YES
DMRTB1,YES
CCDC169-SOHLH2,YES
YY2,YES
ZNF143,YES
PBRM1,YES
ZNF841,YES
ADNP,YES
SPIB,YES
BCL11B,YES
ZNF513,YES
NEUROD6,YES
SRF,YES
TBXT,YES
HOXD9,YES
ZBTB47,YES
ZNF22,YES
NFXL1,YES
ZNF543,YES
ZNF540,YES
SOX14,YES
TFAP4,YES
ASCL2,YES
HEY1,YES
EBF3,YES
XBP1,YES
ZNF562,YES
PROP1,YES
CDX4,YES
SOX10,YES
BORCS8-MEF2B,YES
ZNF211,YES
ZNF266,YES
ZNF580,YES
OVOL3,YES
ZNF391,YES
ATOH1,YES
ATF5,YES
MYB,YES
ALX3,YES
SP2,YES
THAP2,YES
GATA2,YES
CDX2,YES
OLIG2,YES
SIM1,YES
ZNF445,YES
YBX2,YES
ZBTB10,YES
ZIK1,YES
ZNF611,YES
DLX2,YES
RREB1,YES
GATA1,YES
BHLHA15,YES
SOX21,YES
MAFA,YES
PITX1,YES
ZNF286B,YES
TGIF2LX,YES
SATB1,YES
SIM2,YES
EN1,YES
ZNF845,YES
DRGX,YES
MAX,YES
ZNF696,YES
ZNF521,YES
ZFP62,YES
GLI3,YES
ZBTB8A,YES
ZNF791,YES
ZFP42,YES
TGIF1,YES
ZNF557,YES
MEIS3,YES
ZNF565,YES
AC002310.5,YES
DLX1,YES
OLIG1,YES
GCFC2,YES
ZNF124,YES
ZBTB5,YES
ZNF554,YES
ZBTB38,YES
ZNF600,YES
BSX,YES
BHLHE41,YES
ZSCAN23,YES
HOXA1,YES
MLX,YES
TSC22D1,YES
EGR4,YES
DUXA,YES
ZNF493,YES
CREBZF,YES
PAX1,YES
THAP11,YES
ARID4A,YES
ZSCAN22,YES
ZNF729,YES
ZNF221,YES
FOXN1,YES
MSGN1,YES
OTX2,YES
TCF7L1,YES
THAP6,YES
IRF2,YES
TFAP2D,YES
ZNF239,YES
EBF1,YES
GBX1,YES
REST,YES
CSDE1,YES
ZNF641,YES
ZNF90,YES
FOXN3,YES
ZNF385A,YES
ZNF727,YES
ZNF257,YES
C11orf95,YES
ZNF98,YES
PPARD,YES
ZNF223,YES
ZNF561,YES
CDX1,YES
ZBTB3,YES
TADA2B,YES
LHX2,YES
AC005324.4,YES
MEIS2,YES
MLXIPL,YES
ZNF274,YES
HOXB2,YES
ZNF816,YES
GTF3A,YES
NKX2-4,YES
ZNF134,YES
ETV2,YES
POU2F1,YES
SALL1,YES
ZNF136,YES
SP140L,YES
ZNF780B,YES
IRF5,YES
ZNF443,YES
ETV1,YES
HMG20B,YES
PGR,YES
MYBL2,YES
EGR2,YES
ZNF397,YES
NFATC2,YES
OTX1,YES
CREM,YES
FOXO3,YES
ZBTB6,YES
ZNF433,YES
CREB1,YES
POU3F4,YES
ZNF672,YES
ZNF329,YES
SCRT1,YES
ZNF140,YES
ZBED6,YES
ZNF765,YES
CRX,YES
ZNF853,YES
BAZ2B,YES
ZNF182,YES
ZNF467,YES
ZNF253,YES
PRDM10,YES
ZNF333,YES
PRDM1,YES
ZIM3,YES
GATA4,YES
GLIS2,YES
ZNF180,YES
ZNF366,YES
SOX18,YES
ZFP1,YES
ZNF517,YES
HOXD10,YES
ZNF112,YES
CCDC88A,YES
ZNF628,YES
ZNF829,YES
TADA2A,YES
ASCL3,YES
ZNF688,YES
ZNF784,YES
MYOD1,YES
SMAD5,YES
GSX1,YES
DMBX1,YES
ZNF419,YES
SP110,YES
SALL3,YES
BBX,YES
FEZF2,YES
EBF2,YES
HMGA2,YES
DACH1,YES
SETDB1,YES
VAX2,YES
MEF2D,YES
ZNF273,YES
ZNF287,YES
ZNF37A,YES
RAX,YES
OSR2,YES
ZNF763,YES
TSHZ3,YES
ZNF555,YES
HOXC10,YES
TOX,YES
KLF8,YES
ZNF235,YES
ZNF746,YES
VAX1,YES
BARX2,YES
ZNF311,YES
RBPJ,YES
PDX1,YES
ZXDB,YES
ZNF528,YES
BATF3,YES
HOXC12,YES
SMAD1,YES
ZFP91,YES
HMX2,YES
ZNF416,YES
ZNF776,YES
SPDEF,YES
ARID3C,YES
ZNF417,YES
FOXO1,YES
ZNF709,YES
FOXH1,YES
ZNF80,YES
ZNF296,YES
ZFX,YES
SP4,YES
ID1,YES
ZNF701,YES
CEBPB,YES
ZNF66,YES
TULP2,YES
RFX1,YES
ZNF724,YES
GRHL2,YES
ZNF879,YES
TEAD3,YES
ZNF541,YES
ZNF610,YES
ELK4,YES
TERF1,YES
RXRG,YES
USF2,YES
ZNF35,YES
FOXO4,YES
RFX2,YES
CTCFL,YES
AFF1,YES
ZNF775,YES
ELF2,YES
ZNF32,YES
LHX5,YES
SOHLH1,YES
NSD2,YES
HMGB4,YES
ZBTB44,YES
ZNF444,YES
NKX2-5,YES
ARID5B,YES
JDP2,YES
FOS,YES
BARX1,YES
LIN28B,YES
LHX3,YES
NRF1,YES
HOXC13,YES
FOXS1,YES
DMTF1,YES
ISL1,YES
STAT3,YES
ETV6,YES
IRX3,YES
ZNF627,YES
ZKSCAN5,YES
NFATC4,YES
ZNF212,YES
KLF5,YES
ZNF572,YES
HES1,YES
ZNF343,YES
ZNF91,YES
THAP7,YES
GTF2IRD2B,YES
ONECUT1,YES
ZNF79,YES
ZSCAN5C,YES
TRERF1,YES
BATF,YES
LHX9,YES
TOX4,YES
REL,YES
HOXD11,YES
ZBTB34,YES
ATF6B,YES
FOXD4L6,YES
ELK3,YES
ZNF559,YES
GSC2,YES
ONECUT3,YES
ARNT,YES
ETV4,YES
ZNF792,YES
IRF1,YES
NFATC3,YES
PAX2,YES
ZNF222,YES
KLF4,YES
TSC22D3,YES
ZNF229,YES
TFEC,YES
ZNF668,YES
HOXD1,YES
ASCL1,YES
RCOR3,YES
ZNF790,YES
ZNF605,YES
POU4F3,YES
ESRRA,YES
GLIS3,YES
ZNF519,YES
ZNF354A,YES
ZNF214,YES
AC019117.3,YES
ZFAT,YES
ZKSCAN4,YES
AC008770.2,YES
FOXA1,YES
ZNF658,YES
PITX3,YES
ZNF496,YES
ZNF248,YES
KLF10,YES
BCL6,YES
HKR1,YES
TCF7L2,YES
MAEL,YES
NR1H4,YES
POU5F1B,YES
